-1	0
0	0
1	1320
6	2270
9	2053
15	1320
18	6240
33	204
38	2096
39	2473
49	2164
54	2860
55	4443
57	9050
64	1375
69	981
72	1320
73	4444
77	1400
80	6663
82	1052
86	1440
92	80
93	322
95	6534
101	5864
102	3371
106	4720
108	1065
109	5820
110	1584
117	7269
133	2932
136	1584
137	254
142	1457
146	4218
150	104
151	1423
176	1550
179	1913
183	1876
184	44
190	4446
196	88
200	2630
205	6557
208	106
215	4381
220	64
221	12728
225	841
228	7016
238	976
240	1470
254	2989
259	2838
265	1762
266	88
270	226
273	5820
288	6888
294	48
296	44
304	1495
309	88
310	454
327	44
330	3088
336	966
340	1120
344	40
349	240
351	1070
356	48
364	2725
368	3781
369	2158
371	381
376	2184
408	2239
410	7972
415	6632
417	520
430	44
434	1344
435	80
439	1276
444	1305
448	208
456	5520
457	2206
464	4866
469	1807
473	317
482	305
489	52
492	8184
497	8135
503	1433
506	1584
520	6638
521	7635
530	173
532	133
544	6082
545	44
549	3328
560	4142
566	1452
568	6240
586	960
596	410
601	1800
603	40
604	5079
607	2930
614	4949
621	2705
627	1150
636	44
641	738
647	1307
656	44
662	6173
664	6540
679	720
695	1883
705	7283
711	8649
715	2400
716	52
717	3426
718	1324
724	5014
727	3170
732	7000
740	52
748	4200
750	528
754	12935
759	1162
768	1210
777	6167
780	1452
784	3068
786	1320
804	67
805	264
806	5491
816	52
817	1284
820	2317
821	3593
830	1584
831	1645
833	3216
852	1954
859	7113
860	899
868	7852
869	2046
872	2720
873	5816
889	1768
895	7896
900	6240
902	4671
904	3224
912	44
923	1452
924	3933
930	1192
932	5176
934	4332
955	3040
961	7837
965	5997
970	4500
980	4580
983	48
989	1188
991	8090
1011	132
1012	8163
1015	3718
1017	6149
1037	680
1052	1592
1076	1443
1080	1100
1085	1050
1090	1452
1097	5820
1110	5760
1125	58
1126	1320
1137	1269
1147	44
1148	3212
1155	1101
1156	4500
1162	3600
1164	1440
1166	4514
1171	583
1173	128
1200	58
1213	88
1214	3394
1220	6147
1221	44
1222	2706
1229	3165
1233	7340
1235	2640
1236	1584
1244	2132
1251	537
1270	3336
1277	132
1281	8400
1287	449
1295	132
1305	2212
1306	1320
1310	1508
1316	1320
1338	3043
1339	1320
1340	899
1343	88
1349	7255
1353	600
1359	5820
1366	104
1369	48
1370	1640
1372	2706
1374	481
1379	3648
1383	4532
1386	1584
1389	884
1392	58
1398	6644
1410	1562
1417	3068
1420	322
1421	1120
1425	2660
1426	4738
1432	1452
1435	1836
1441	260
1449	376
1451	2424
1452	922
1458	44
1459	44
1462	44
1472	6169
1487	4760
1489	44
1503	2028
1504	718
1505	1320
1507	95
1512	6550
1516	268
1520	2190
1525	947
1530	7431
1531	4653
1537	7783
1539	3610
1544	7376
1554	6000
1559	132
1560	2493
1571	1918
1572	1320
1574	10962
1576	540
1578	2308
1580	2908
1585	7709
1589	6155
1590	522
1593	3299
1604	44
1608	1500
1613	48
1614	44
1622	1370
1624	2242
1630	1452
1643	4026
1644	769
1653	6785
1659	6135
1662	1901
1674	1092
1675	7100
1681	3687
1685	877
1688	5920
1698	524
1705	252
1706	5820
1713	1819
1718	336
1735	1924
1737	2372
1742	1392
1748	7770
1752	34
1762	1272
1774	1280
1776	4706
1777	8015
1784	6000
1785	7947
1786	7400
1788	40
1796	4603
1798	4263
1801	738
1802	2538
1804	1320
1809	1329
1820	312
1821	568
1822	1365
1839	88
1844	5002
1846	74
1848	280
1849	2768
1867	4400
1872	762
1878	58
1896	756
1897	216
1901	4043
1905	1040
1907	680
1920	1320
1921	5389
1929	6131
1931	3388
1936	6100
1943	1296
1944	600
1945	832
1949	44
1953	44
1954	6570
1957	52
1963	52
1965	98
1966	248
1970	7064
1972	1712
1974	44
1983	6558
2000	2652
2003	1320
2004	6135
2006	88
2016	2330
2021	44
2025	88
2035	5002
2036	2218
2038	3631
2042	2309
2044	624
2046	2906
2060	293
2068	5604
2074	258
2089	3323
2092	121
2100	1566
2111	560
2113	1235
2118	944
2127	104
2129	1452
2134	7220
2136	205
2146	3912
2158	7362
2160	5897
2161	4045
2167	4938
2187	1220
2193	1452
2197	44
2204	3907
2209	44
2217	44
2219	1840
2221	5880
2222	308
2223	2601
2224	4940
2232	196
2233	40
2234	1038
2237	6845
2243	3000
2244	1584
2248	398
2249	98
2259	41
2266	257
2269	51
2271	88
2272	6960
2280	84
2282	1452
2286	1576
2294	88
2295	52
2297	192
2303	4991
2304	40
2305	258
2306	2896
2308	88
2310	1584
2313	557
2320	3028
2323	1320
2327	913
2328	300
2337	1557
2338	3552
2342	40
2348	200
2358	1488
2359	2429
2360	678
2361	2125
2362	1947
2368	1584
2383	6587
2384	1378
2390	44
2397	5068
2410	1245
2411	5864
2412	320
2422	759
2427	1452
2433	209
2434	3809
2439	1092
2443	7216
2449	196
2451	52
2453	3242
2454	88
2455	706
2457	2634
2461	6210
2470	599
2476	44
2484	440
2485	4719
2493	205
2494	7343
2508	979
2511	4129
2512	2224
2517	3328
2523	49
2525	6936
2531	1072
2536	58
2537	990
2540	260
2547	1523
2549	88
2551	1192
2555	2220
2556	1500
2558	44
2564	3083
2573	2550
2587	44
2596	1584
2602	40
2608	44
2613	51
2618	254
2622	2816
2623	4993
2635	2271
2637	370
2644	6478
2656	44
2660	1664
2669	131
2672	42
2680	44
2681	5820
2688	2525
2692	2958
2693	58
2700	153
2702	3303
2705	132
2717	648
2720	8764
2723	4390
2724	1066
2730	6260
2731	7149
2734	3631
2743	104
2752	3724
2761	2960
2763	172
2764	6399
2765	436
2768	1200
2770	3980
2772	8628
2773	5004
2776	1273
2785	1554
2791	44
2792	4399
2812	40
2822	53
2827	7687
2829	6151
2831	2783
2833	183
2834	3174
2842	88
2844	44
2845	4478
2849	5152
2850	896
2854	832
2857	88
2859	1753
2864	154
2871	1196
2873	874
2885	44
2887	258
2897	44
2903	88
2909	1400
2916	52
2927	5806
2930	1914
2933	904
2936	3076
2937	772
2943	712
2944	104
2945	98
2948	4352
2950	834
2953	4400
2954	4888
2959	279
2961	41
2965	1452
2971	72
2975	1213
2977	62
2988	41
2989	2618
2993	5760
2995	2840
2998	1521
3004	182
3018	44
3022	864
3029	750
3040	710
3045	58
3050	1604
3054	2018
3056	5444
3059	1294
3061	5276
3063	1452
3064	165
3071	51
3072	1452
3081	7198
3083	2756
3084	1096
3088	8048
3089	1344
3095	1200
3099	2057
3103	44
3106	260
3117	4160
3125	3776
3131	104
3132	2643
3136	44
3137	1419
3138	4101
3142	7894
3149	5679
3152	4998
3158	260
3169	44
3175	192
3178	3036
3180	4873
3196	1044
3200	1352
3206	2000
3211	3560
3217	104
3222	7136
3225	4604
3227	1584
3228	2491
3230	376
3231	298
3232	581
3233	1671
3238	1006
3245	97
3247	532
3248	5659
3250	6124
3265	56
3276	3554
3277	84
3290	1500
3296	4500
3303	89
3305	1275
3306	6224
3307	1672
3324	1061
3329	44
3330	6344
3331	806
3333	3955
3334	2021
3335	104
3337	282
3340	1584
3343	7799
3344	48
3351	65
3354	2938
3360	1240
3362	6701
3363	645
3371	8095
3373	3406
3376	6998
3390	121
3392	3636
3394	1584
3426	2883
3428	2554
3446	115
3456	1452
3465	1320
3468	5887
3470	5760
3473	922
3475	718
3483	1452
3486	520
3489	840
3492	1452
3493	5880
3496	182
3516	4880
3519	588
3520	1726
3521	514
3531	88
3532	423
3538	2293
3541	6282
3545	2548
3554	2052
3562	12446
3564	2442
3565	7967
3571	6137
3586	5076
3587	6000
3591	2108
3595	6167
3600	1521
3602	4960
3610	4787
3620	1580
3625	1452
3628	88
3637	44
3641	416
3645	88
3650	3711
3655	1218
3656	810
3658	7341
3665	1612
3666	1452
3673	1261
3679	364
3681	88
3689	1452
3690	104
3697	7944
3702	7360
3709	1452
3711	6290
3712	184
3722	5820
3724	52
3726	2719
3731	52
3733	1302
3734	616
3735	7827
3736	8030
3737	1664
3743	93
3746	1198
3747	315
3760	387
3765	1452
3769	2222
3770	1584
3775	52
3778	53
3783	1476
3788	7857
3789	424
3791	88
3795	1106
3797	131
3802	1297
3804	4781
3805	5360
3808	1199
3816	6344
3817	7708
3821	1002
3829	40
3831	82
3839	1161
3848	14786
3851	4500
3855	7078
3858	48
3861	2066
3864	4885
3868	276
3871	6170
3873	1050
3874	7771
3884	4429
3894	2440
3896	1080
3902	178
3906	44
3910	1584
3918	53
3925	208
3933	728
3936	549
3942	2259
3945	3168
3948	656
3950	4242
3953	1236
3959	44
3979	2639
3984	7150
3988	88
3993	313
3995	5464
4008	248
4014	5847
4022	1183
4030	82
4039	3960
4042	456
4048	2332
4054	4440
4060	5759
4067	4940
4070	4062
4071	367
4076	1584
4081	7583
4082	40
4083	1404
4088	1865
4089	518
4090	3512
4103	1320
4107	1452
4108	3061
4111	40
4116	672
4117	40
4118	1074
4122	2972
4123	6127
4126	5839
4127	48
4132	104
4138	214
4139	17817
4148	898
4152	88
4155	340
4156	7644
4163	104
4168	44
4178	598
4180	3216
4181	246
4189	52
4194	40
4197	3429
4205	5820
4210	44
4220	1160
4223	1181
4224	2444
4236	5752
4240	580
4252	4200
4267	392
4274	2520
4278	3509
4291	396
4294	417
4303	2591
4307	84
4311	3902
4318	4596
4322	44
4330	3959
4335	5390
4341	195
4342	52
4346	418
4348	6876
4353	2784
4359	1076
4363	52
4367	4508
4374	2776
4375	142
4398	748
4399	104
4400	1584
4402	2320
4406	2945
4408	126
4409	44
4411	44
4414	1610
4415	6616
4422	5167
4433	3168
4437	44
4438	6674
4439	6537
4441	114
4451	7500
4460	6420
4464	5720
4470	131
4471	2184
4473	2720
4478	2161
4481	6609
4483	104
4486	1760
4494	412
4496	84
4507	724
4508	192
4510	44
4517	8146
4518	703
4522	8030
4525	1452
4531	1257
4534	1320
4536	1052
4540	2329
4547	1715
4550	44
4551	6533
4552	2076
4554	3097
4556	677
4564	1928
4573	468
4574	7724
4579	1204
4580	1002
4582	44
4587	762
4595	1500
4596	264
4603	52
4606	897
4608	89
4613	2068
4616	335
4617	138
4618	658
4623	7607
4625	1302
4628	1413
4630	1320
4638	1040
4640	44
4642	1320
4649	1438
4650	753
4656	2080
4658	97
4673	4080
4674	152
4677	1704
4681	484
4686	6958
4692	684
4694	2181
4695	88
4703	1424
4706	1584
4707	2245
4708	8171
4709	7787
4713	7682
4716	1738
4722	4882
4726	320
4734	7024
4738	2560
4742	6552
4743	324
4749	88
4759	2000
4763	1280
4765	44
4769	535
4773	5745
4779	2434
4781	2466
4783	388
4795	1452
4797	1947
4808	132
4809	2526
4815	44
4822	168
4824	762
4847	2600
4850	90
4852	1452
4856	3160
4863	44
4867	332
4870	706
4874	209
4881	44
4882	142
4888	156
4892	1107
4893	106
4894	1480
4897	640
4898	1308
4903	4500
4906	364
4912	2113
4915	712
4922	2722
4923	3633
4929	2932
4935	97
4941	58
4949	7275
4954	1428
4958	2244
4960	6808
4961	1554
4962	681
4966	864
4968	1584
4972	44
4974	74
4977	3829
4980	44
4983	44
4987	88
4988	761
4989	847
4992	44
4996	609
4997	160
5003	1320
5007	992
5011	3928
5017	1209
5020	6384
5021	40
5022	1760
5028	5647
5035	2360
5045	4395
5065	684
5066	5478
5076	232
5086	4200
5098	5467
5101	1584
5109	7348
5110	1290
5113	1452
5115	1176
5117	4067
5123	7544
5127	472
5128	2440
5132	4700
5134	40
5137	52
5139	1116
5149	104
5151	5331
5158	3594
5162	5170
5166	832
5169	44
5172	7967
5177	504
5180	1268
5183	2896
5184	4397
5186	121
5187	1218
5188	3479
5189	2640
5191	966
5199	222
5200	160
5203	208
5205	1211
5207	2805
5209	1452
5217	1228
5232	5827
5234	1233
5235	44
5248	4362
5251	4512
5257	942
5261	1974
5262	1452
5267	5042
5271	44
5273	324
5276	88
5277	377
5278	1702
5285	1320
5287	44
5295	4356
5304	4596
5313	3368
5325	1600
5332	1440
5335	6260
5348	200
5351	1452
5353	1584
5354	1664
5355	54
5356	44
5358	3284
5359	944
5363	88
5365	2406
5366	1252
5373	2860
5374	44
5377	80
5382	1200
5390	351
5391	3084
5392	1452
5393	5372
5399	560
5405	274
5407	2860
5408	6775
5410	313
5412	4480
5413	516
5414	1584
5418	4544
5419	4230
5426	292
5441	450
5443	40
5444	1320
5446	1680
5447	537
5448	1438
5452	2933
5463	3282
5464	490
5466	265
5480	5952
5482	95
5494	2988
5499	862
5500	4050
5504	160
5505	8168
5508	312
5510	44
5511	40
5514	2229
5532	52
5535	8054
5537	1363
5543	7934
5549	634
5554	88
5561	990
5564	718
5565	3144
5568	594
5577	372
5578	640
5592	48
5593	132
5595	793
5605	3389
5607	3816
5609	5279
5614	982
5619	1399
5622	4958
5623	1389
5626	1707
5628	2724
5638	200
5643	1320
5656	4160
5658	1320
5660	84
5662	44
5666	6391
5669	6219
5671	5204
5685	2932
5689	2816
5692	4331
5694	7932
5695	1070
5697	3324
5698	1106
5706	4503
5707	834
5712	916
5713	7716
5716	990
5739	74
5745	44
5750	4152
5752	3674
5753	68
5755	5040
5758	4788
5769	4607
5775	316
5777	1776
5778	1320
5781	6699
5793	2908
5796	2232
5797	4436
5802	3695
5808	4374
5809	2696
5817	8137
5824	1452
5831	633
5834	1782
5839	92
5843	12311
5863	333
5865	6390
5866	3720
5872	5826
5875	650
5888	1512
5889	8689
5891	432
5894	3247
5896	568
5897	2322
5902	400
5908	44
5913	524
5918	2593
5919	1452
5922	44
5926	1897
5930	2893
5933	1535
5938	1452
5941	969
5948	3024
5954	3338
5958	3243
5960	44
5970	4026
5973	40
5976	6554
5977	53
5979	44
5982	88
5993	2333
5998	4004
6000	1915
6006	4776
6008	40
6022	1928
6027	4049
6028	1880
6030	4362
6040	543
6042	88
6056	2400
6061	2696
6064	1452
6068	1584
6073	415
6077	1931
6078	6171
6081	52
6094	48
6100	2515
6102	254
6104	52
6109	158
6110	4296
6130	44
6131	92
6134	88
6135	1452
6139	146
6140	168
6141	60
6147	52
6151	419
6154	7819
6162	4400
6173	1452
6178	5647
6181	40
6183	851
6184	1200
6186	450
6188	897
6189	44
6191	268
6194	2402
6201	104
6204	328
6205	1480
6212	40
6223	4200
6228	88
6232	1004
6241	1520
6245	825
6249	96
6250	48
6251	5898
6252	132
6253	3236
6257	3316
6268	1613
6271	1584
6272	384
6281	1320
6282	5372
6286	44
6289	1426
6297	723
6308	6181
6310	6281
6314	44
6321	264
6323	120
6325	1436
6339	448
6344	5886
6353	875
6355	6010
6359	44
6363	44
6366	44
6368	5954
6369	44
6373	44
6377	1452
6379	88
6381	44
6383	5058
6384	4244
6395	200
6409	3220
6411	3266
6412	1636
6414	1320
6416	9191
6418	452
6419	124
6420	1508
6424	3204
6427	7674
6436	353
6442	44
6448	816
6453	224
6459	1320
6472	808
6476	44
6479	3120
6488	5933
6494	4223
6500	276
6501	44
6502	44
6510	88
6514	886
6519	1452
6520	3251
6522	48
6528	1840
6543	48
6545	524
6546	5840
6553	10261
6560	1455
6562	440
6565	600
6574	6471
6576	1064
6581	736
6593	319
6594	384
6598	5972
6600	2490
6601	4617
6604	88
6605	1815
6606	6609
6607	1308
6614	6864
6623	8059
6625	1293
6626	415
6629	88
6631	1080
6640	44
6652	88
6656	576
6662	1320
6664	737
6666	44
6668	1320
6669	1095
6670	804
6679	3399
6680	2712
6681	84
6682	132
6687	3808
6688	3312
6689	5680
6701	3728
6702	1205
6704	80
6711	640
6715	5136
6723	44
6724	1374
6733	44
6741	244
6742	1540
6746	128
6754	88
6757	1127
6761	5662
6764	937
6773	792
6774	1584
6778	4000
6780	520
6781	88
6782	5743
6783	3272
6786	1500
6789	1008
6798	2112
6799	88
6807	794
6812	50
6814	6360
6815	44
6816	1452
6821	8448
6823	2032
6826	88
6831	510
6832	48
6836	2061
6853	1308
6858	44
6859	1124
6867	75
6872	1720
6876	2615
6878	1130
6879	1452
6881	1452
6895	52
6897	144
6898	1320
6899	5028
6900	3517
6903	762
6904	493
6905	88
6917	1112
6924	3076
6936	5814
6940	563
6943	7270
6944	5970
6948	1320
6951	3863
